"x"
""
"2004"
"2014"
"2010"
"2016"
"no sabe "
"2001"
"2000"
"2008"
"2015"
"No se"
"2006"
"No sabe"
"2009"
"2013"
"Monza"
"no sabe"
"2002"
"2012"
"2007"
"1995"
"1984"
"2005"
"2003"
"1988"
"1991"
"No sabe "
"2011"
"1999"
"1989"
"1994"
"1998"
"rodeo"
NA
"1997"
