,atributos,promedioGlobal,promedioIndividual,logit,Nombre
1,v2,1,2,1,Para_transportarme_con_segurid
2,v8,2,1,2,Porque_me_ahorra_tiempo_en_tra
3,v16,3,3,3,Porque_me_facilita_cargar_cosa
4,v15,4,4,4,Porque_el_transporte_es_muy_ma
5,v11,5,5,5,Para_no_pagar_taxis___Son_caro
6,v12,8,8,6,Porque_es_una_herramienta_de_t
7,v9,6.5,6.5,7,Porque_quiero_moverme_con_faci
8,v17,9,10,8,Para_no_depender_de_los_horari
9,v1,10,9,9,Porque_necesitaba_algo_m_s_amp
10,v13,6.5,6.5,10,Porque_me_gusta_manejar
11,v10,11,12,11,Por_que_resuelve_problemas
12,v7,12,11,12,Porque_no_hay_transporte_donde
13,v4,13,13,13,Para_sentirme_libre
14,v5,15,16,14,Para_sentirme_independiente
15,v14,14,14,15,Porque_es_una_compa__a
16,v6,16,15,16,Porque_es_una_muestra_de_mi_me
17,v3,17,17,17,Porque_me_da_prestigio___statu
