"","valores","atributos1"
"","0","Porque_necesitaba_algo_m_s_amp"
"v2","0.603391776355332","Para_transportarme_con_segurid"
"v3","-1.62289919876548","Porque_me_da_prestigio___statu"
"v4","-0.655266063639091","Para_sentirme_libre"
"v5","-0.79640005778487","Para_sentirme_independiente"
"v6","-0.86535987308051","Porque_es_una_muestra_de_mi_me"
"v7","-0.282233443643112","Porque_no_hay_transporte_donde"
"v8","-0.287785036607144","Porque_me_ahorra_tiempo_en_tra"
"v9","0.598852471931052","Porque_quiero_moverme_con_faci"
"v10","0.132641024397335","Por_que_resuelve_problemas"
"v11","0.275900497924247","Para_no_pagar_taxis___Son_caro"
"v12","0.1429758871376","Porque_es_una_herramienta_de_t"
"v13","-0.0188756590497677","Porque_me_gusta_manejar"
"v14","-0.813089601642814","Porque_es_una_compa__a"
"v15","0.399994678581632","Porque_el_transporte_es_muy_ma"
"v16","0.481128712895814","Porque_me_facilita_cargar_cosa"
"v17","0.104250365225647","Para_no_depender_de_los_horari"
