"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61"
"17","P15UsoAmbosAuto","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"18","Rr_P15_9_AUTO_1_r1_Yo","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"19","Rr_P15_9_AUTO_1_r2_Mi_Esposo___Esposa","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"20","Rr_P15_9_AUTO_1_r3_Mi_Pap____Mam","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"21","Rr_P15_9_AUTO_1_r4_Hijos___Hijas","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"22","Rr_P15_9_AUTO_1_r5_Otro_familiar","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"23","Rr_P15_9_AUTO_1_No_sabe__no_contest","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"24","Total","106","100","0","NaN","0","NaN","106","100","0","NaN","0","NaN","37","100","69","100","0","NaN","33","100","26","100","25","100","17","100","5","100","0","NaN","26","100","22","100","29","100","29","100","19","100","16","100","15","100","20","100","18","100","18","100","47","100","8","100","17","100","34","100","0","NaN"
"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26","P15MarcaAmbosAutos","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"27","Chevrolet","29","27.4","0","NaN","0","NaN","29","27.4","0","NaN","0","NaN","12","32.4","17","24.6","0","NaN","7","21.2","8","30.8","1.87082869338697","7.5","2.03100960115899","11.9","1","20","0","NaN","2.4","9.2","7","31.8","8","27.6","6","20.7","0","0","1.78885438199983","11.2","1.77281052085584","11.8","6","30","2.12824147236771","11.8","8","44.4","16","34","1","12.5","1.62018517460197","9.5","9","26.5","0","NaN"
"28","Chrysler","2","1.9","0","NaN","0","NaN","2","1.9","0","NaN","0","NaN","1","2.7","1","1.4","0","NaN","0","0","1","3.8","0","0","1","5.9","0","0","0","NaN","0","0","1","4.5","0","0","1","3.4","1","5.3","0","0","0","0","1","5","0","0","0","0","0","0","0","0","1","5.9","0","0","0","NaN"
"29","Fiat","1","0.9","0","NaN","0","NaN","1","0.9","0","NaN","0","NaN","1","2.7","0","0","0","NaN","1","3","0","0","0","0","0","0","0","0","0","NaN","0","0","1","4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5.6","0","0","0","0","0","0","1","2.9","0","NaN"
"30","Ford","17","16","0","NaN","0","NaN","17","16","0","NaN","0","NaN","5","13.5","12","17.4","0","NaN","8","24.2","5","19.2","1.38443731048635","5.5","1","5.9","0","0","0","NaN","1","3.8","3","13.6","7","24.1","5","17.2","2","10.5","1.61245154965971","10.1","1.77281052085584","11.8","4","20","1","5.6","3","16.7","6","12.8","1.30930734141595","16.4","1.36930639376292","8.1","7","20.6","0","NaN"
"31","Honda","5","4.7","0","NaN","0","NaN","5","4.7","0","NaN","0","NaN","1","2.7","4","5.8","0","NaN","3","9.1","0","0","1","4","1","5.9","0","0","0","NaN","1.3856406460551","5.3","0","0","2","6.9","1","3.4","0","0","1","6.2","1","6.7","3","15","0","0","0","0","3","6.4","1","12.5","0","0","1","2.9","0","NaN"
"32","Hyundai","2","1.9","0","NaN","0","NaN","2","1.9","0","NaN","0","NaN","1","2.7","1","1.4","0","NaN","0","0","1","3.8","0","0","0","0","1","20","0","NaN","1.3856406460551","5.3","0","0","0","0","0","0","0","0","1","6.2","0","0","0","0","1","5.6","0","0","0","0","0","0","0","0","2","5.9","0","NaN"
"33","Isuzu","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"34","Jeep","3","2.8","0","NaN","0","NaN","3","2.8","0","NaN","0","NaN","0","0","3","4.3","0","NaN","1","3","0","0","1.38443731048635","5.5","0","0","0","0","0","NaN","0","0","0","0","1","3.4","2","6.9","1","5.3","1","6.2","0","0","1","5","0","0","0","0","2","4.3","0","0","1","5.9","0","0","0","NaN"
"35","Kia","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"36","Mazda","3","2.8","0","NaN","0","NaN","3","2.8","0","NaN","0","NaN","1","2.7","2","2.9","0","NaN","1","3","0","0","1","4","0","0","0","0","0","NaN","0","0","1","4.5","0","0","2","6.9","1","5.3","0","0","0","0","0","0","0","0","1","5.6","2","4.3","0","0","0","0","1","2.9","0","NaN"
"37","Mitsubishi","3","2.8","0","NaN","0","NaN","3","2.8","0","NaN","0","NaN","1","2.7","2","2.9","0","NaN","2","6.1","1","3.8","0","0","0","0","0","0","0","NaN","0","0","1","4.5","2","6.9","0","0","0","0","0","0","0","0","2","10","0","0","1","5.6","2","4.3","0","0","0","0","1","2.9","0","NaN"
"38","Nissan","22","20.8","0","NaN","0","NaN","22","20.8","0","NaN","0","NaN","8","21.6","14","20.3","0","NaN","6","18.2","6","23.1","2.17944947177034","8.7","1.80277563773199","10.6","0","0","0","NaN","2.30651251893416","8.9","8","36.4","5","17.2","2","6.9","7","36.8","0","0","1.77281052085584","11.8","4","20","1.95538472218761","10.9","2","11.1","6","12.8","1.30930734141595","16.4","1.62018517460197","9.5","11","32.4","0","NaN"
"39","Peugeot","1","0.9","0","NaN","0","NaN","1","0.9","0","NaN","0","NaN","0","0","1","1.4","0","NaN","1","3","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","1","3.4","1","5.3","0","0","0","0","0","0","0","0","0","0","0","0","1","12.5","0","0","0","0","0","NaN"
"40","Renault","2","1.9","0","NaN","0","NaN","2","1.9","0","NaN","0","NaN","1","2.7","1","1.4","0","NaN","1","3","0","0","1","4","0","0","0","0","0","NaN","0","0","0","0","1","3.4","1","3.4","1","5.3","0","0","0","0","1","5","0","0","0","0","1","2.1","0","0","1","5.9","0","0","0","NaN"
"41","Seat","3","2.8","0","NaN","0","NaN","3","2.8","0","NaN","0","NaN","2","5.4","1","1.4","0","NaN","1","3","2","7.7","0","0","0","0","0","0","0","NaN","1","3.8","0","0","1","3.4","1","3.4","0","0","0","0","0","0","0","0","1","5.6","2","11.1","1","2.1","0","0","1.36930639376292","8.1","0","0","0","NaN"
"42","Subaru","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"43","Suzuki","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"44","Toyota","1","0.9","0","NaN","0","NaN","1","0.9","0","NaN","0","NaN","0","0","1","1.4","0","NaN","1","3","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","1","3.4","1","5.3","0","0","0","0","0","0","0","0","0","0","1","2.1","0","0","0","0","0","0","0","NaN"
"45","Volkswagen","20","18.9","0","NaN","0","NaN","20","18.9","0","NaN","0","NaN","6","16.2","14","20.3","0","NaN","7","21.2","5","19.2","2.04124145231931","8.2","1.62018517460197","9.5","0","0","0","NaN","1.66132477258362","6.4","4","18.2","8","27.6","5","17.2","6","31.6","1.36626010212795","8.5","1.36277028773849","9.1","2","10","1.62697843363992","9","5","27.8","12","25.5","1","12.5","1.62018517460197","9.5","4","11.8","0","NaN"
"46","Volvo","1","0.9","0","NaN","0","NaN","1","0.9","0","NaN","0","NaN","0","0","1","1.4","0","NaN","0","0","0","0","0","0","1","5.9","0","0","0","NaN","0","0","0","0","0","0","1","3.4","0","0","1","6.2","0","0","0","0","0","0","0","0","1","2.1","0","0","0","0","0","0","0","NaN"
"47","Otra (Especificar)","4","3.8","0","NaN","0","NaN","4","3.8","0","NaN","0","NaN","1","2.7","3","4.3","0","NaN","0","0","1","3.8","1.6583123951777","6.6","0","0","0","0","0","NaN","1.3856406460551","5.3","0","0","0","0","2","6.9","1","5.3","1.61245154965971","10.1","0","0","0","0","0","0","0","0","2","4.3","0","0","1","5.9","1","2.9","0","NaN"
"48","Total","106","100","0","NaN","0","NaN","106","100","0","NaN","0","NaN","37","100","69","100","0","NaN","33","100","26","100","25","100","17","100","5","100","0","NaN","26","100","22","100","29","100","29","100","19","100","16","100","15","100","20","100","18","100","18","100","47","100","8","100","17","100","34","100","0","NaN"
"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50","P15AmbosModelo","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"51","SENTRA","2","1.9","0","NaN","0","NaN","2","1.9","0","NaN","0","NaN","0","0","2","2.9","0","NaN","2","6.1","0","0","0","0","0","0","0","0","0","NaN","0","0","2","9.1","0","0","0","0","1","5.3","0","0","1","6.7","0","0","0","0","0","0","0","0","0","0","1","5.9","1","2.9","0","NaN"
"52","ATOS","2","1.9","0","NaN","0","NaN","2","1.9","0","NaN","0","NaN","1","2.7","1","1.4","0","NaN","0","0","1","3.8","0","0","0","0","1","20","0","NaN","1","3.8","1","4.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.6","1","5.6","1","2.1","0","0","0","0","1","2.9","0","NaN"
"53","FIESTA","6","5.7","0","NaN","0","NaN","6","5.7","0","NaN","0","NaN","3","8.1","3","4.3","0","NaN","3","9.1","2","7.7","0","0","1","5.9","0","0","0","NaN","1","3.8","1","4.5","3","10.3","1","3.4","0","0","0","0","0","0","2","10","1","5.6","3","16.7","3","6.4","1","12.5","0","0","2","5.9","0","NaN"
"54","ASTRO VAN","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"55","CHEVY","14","13.2","0","NaN","0","NaN","14","13.2","0","NaN","0","NaN","7","18.9","7","10.1","0","NaN","3","9.1","5","19.2","3","12","2","11.8","1","20","0","NaN","4","15.4","2","9.1","6","20.7","2","6.9","0","0","0","0","1","6.7","4","20","5","27.8","4","22.2","9","19.1","0","0","1","5.9","4","11.8","0","NaN"
"56","NO SABE","4","3.8","0","NaN","0","NaN","4","3.8","0","NaN","0","NaN","2","5.4","2","2.9","0","NaN","2","6.1","1","3.8","0","0","1","5.9","0","0","0","NaN","2","7.7","1","4.5","1","3.4","0","0","0","0","0","0","0","0","1","5","2","11.1","1","5.6","3","6.4","0","0","1","5.9","0","0","0","NaN"
"57","YARIS","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"58","TSURU","9","8.5","0","NaN","0","NaN","9","8.5","0","NaN","0","NaN","5","13.5","4","5.8","0","NaN","1","3","1","3.8","4","16","3","17.6","0","0","0","NaN","3","11.5","3","13.6","2","6.9","1","3.4","3","15.8","0","0","0","0","2","10","3","16.7","1","5.6","3","6.4","1","12.5","1","5.9","4","11.8","0","NaN"
"59","LOBO","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"60","VOLKSWAGEN SEDÁN","1","0.9","0","NaN","0","NaN","1","0.9","0","NaN","0","NaN","0","0","1","1.4","0","NaN","0","0","0","0","0","0","1","5.9","0","0","0","NaN","1","3.8","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","1","2.9","0","NaN"
"61","JETTA","5","4.7","0","NaN","0","NaN","5","4.7","0","NaN","0","NaN","1","2.7","4","5.8","0","NaN","1","3","0","0","3","12","1","5.9","0","0","0","NaN","1","3.8","2","9.1","1","3.4","1","3.4","3","15.8","0","0","0","0","1","5","0","0","1","5.6","3","6.4","0","0","0","0","2","5.9","0","NaN"
"62","AVEO","4","3.8","0","NaN","0","NaN","4","3.8","0","NaN","0","NaN","0","0","4","5.8","0","NaN","2","6.1","1","3.8","0","0","1","5.9","0","0","0","NaN","1","3.8","1","4.5","1","3.4","1","3.4","0","0","1","6.2","1","6.7","0","0","0","0","2","11.1","2","4.3","0","0","0","0","2","5.9","0","NaN"
"63","NO IDENTIFICADO","8","7.5","0","NaN","0","NaN","8","7.5","0","NaN","0","NaN","1","2.7","7","10.1","0","NaN","1","3","1","3.8","4","16","1","5.9","1","20","0","NaN","1","3.8","1","4.5","0","0","6","20.7","2","10.5","3","18.8","0","0","3","15","0","0","0","0","3","6.4","0","0","3","17.6","2","5.9","0","NaN"
