"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61"
"11","D+","115","10.9","68","8.3","30","23.3","17","16","0","NaN","0","NaN","51","12","64","10.2","0","NaN","0","0","0","0","0","0","115","100","0","0","0","NaN","26","14.8","36","9.9","24","8.9","29","12.1","39","17.6","22","13.8","1","0.6","26","16","15","8.8","12","6.6","54","11.8","8","9.5","22","13.3","30","9","1","8.3"
"12","D","40","3.8","16","2","19","14.7","5","4.7","0","NaN","0","NaN","16","3.8","24","3.8","0","NaN","0","0","0","0","0","0","0","0","40","100","0","NaN","12","6.8","11","3","10","3.7","7","2.9","4","1.8","13","8.2","0","0","3","1.8","6","3.5","14","7.7","23","5","3","3.6","3","1.8","11","3.3","0","0"
"13","E","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Total","1052","100","817","100","129","100","106","100","0","NaN","0","NaN","424","100","628","100","0","NaN","346","100","317","100","234","100","115","100","40","100","0","NaN","176","100","365","100","271","100","240","100","222","100","159","100","155","100","163","100","171","100","182","100","458","100","84","100","165","100","333","100","12","100"
"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16","Edad_Rango","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"17","18 - 24","176","16.7","119","14.6","31","24","26","24.5","0","NaN","0","NaN","88","20.8","88","14","0","NaN","40","11.6","48","15.1","50","21.4","26","22.6","12","30","0","NaN","176","100","0","0","0","0","0","0","31","14","36","22.6","23","14.8","27","16.6","32","18.7","27","14.8","21","4.6","8","9.5","10","6.1","135","40.5","2","16.7"
"18","25 - 34","365","34.7","279","34.1","64","49.6","22","20.8","0","NaN","0","NaN","148","34.9","217","34.6","0","NaN","116","33.5","116","36.6","86","36.8","36","31.3","11","27.5","0","NaN","0","0","365","100","0","0","0","0","81","36.5","44","27.7","44","28.4","53","32.5","66","38.6","77","42.3","107","23.4","43","51.2","45","27.3","162","48.6","8","66.7"
"19","35 - 44","271","25.8","222","27.2","20","15.5","29","27.4","0","NaN","0","NaN","103","24.3","168","26.8","0","NaN","104","30.1","85","26.8","48","20.5","24","20.9","10","25","0","NaN","0","0","0","0","271","100","0","0","63","28.4","33","20.8","52","33.5","42","25.8","33","19.3","48","26.4","177","38.6","24","28.6","44","26.7","24","7.2","2","16.7"
"20","45 - 55","240","22.8","197","24.1","14","10.9","29","27.4","0","NaN","0","NaN","85","20","155","24.7","0","NaN","86","24.9","68","21.5","50","21.4","29","25.2","7","17.5","0","NaN","0","0","0","0","0","0","240","100","47","21.2","46","28.9","36","23.2","41","25.2","40","23.4","30","16.5","153","33.4","9","10.7","66","40","12","3.6","0","0"
