"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61"
"1","P10","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"11","Rr_P15_2_1_r2_Mi_Esposo___Esposa","125","15.3","125","15.3","0","NaN","0","NaN","0","NaN","0","NaN","75","21.2","50","10.8","0","NaN","46","15.2","40","15.3","25","14.8","10","14.7","4","25","0","NaN","8","6.7","31","11.1","51","23","35","17.8","20","12.1","28","20.4","25","19.1","28","21.9","11","8.4","13","10.4","107","29.5","15","23.4","2","1.5","1","0.4","0","0"
"12","Rr_P15_2_1_r3_Mi_Pap____Mam","70","8.6","70","8.6","0","NaN","0","NaN","0","NaN","0","NaN","39","11","31","6.7","0","NaN","33","10.9","15","5.7","9","5.3","10","14.7","3","18.8","0","NaN","37","31.1","27","9.7","5","2.3","1","0.5","19","11.5","16","11.7","6","4.6","11","8.6","6","4.6","12","9.6","4","1.1","0","0","9","6.8","55","22.4","2","16.7"
"13","Rr_P15_2_1_r4_Hijos___Hijas","31","3.8","31","3.8","0","NaN","0","NaN","0","NaN","0","NaN","16","4.5","15","3.2","0","NaN","14","4.6","10","3.8","6","3.6","0","0","1","6.2","0","NaN","0","0","1","0.4","6","2.7","24","12.2","9","5.5","7","5.1","6","4.6","3","2.3","2","1.5","4","3.2","20","5.5","0","0","9","6.8","0","0","2","16.7"
"14","Rr_P15_2_1_r5_Otro_familiar","12","1.5","12","1.5","0","NaN","0","NaN","0","NaN","0","NaN","4","1.1","8","1.7","0","NaN","3","1","4","1.5","3","1.8","2","2.9","0","0","0","NaN","3","2.5","5","1.8","1","0.5","3","1.5","3","1.8","2","1.5","1","0.8","4","3.1","2","1.5","0","0","4","1.1","0","0","2","1.5","6","2.4","0","0"
"15","Rr_P15_2_1_No_sabe__no_contest","0","0","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Total","817","100","817","100","0","NaN","0","NaN","0","NaN","0","NaN","354","100","463","100","0","NaN","302","100","262","100","169","100","68","100","16","100","0","NaN","119","100","279","100","222","100","197","100","165","100","137","100","131","100","128","100","131","100","125","100","363","100","64","100","132","100","246","100","12","100"
"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18","P15NumAutos","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"19","1","698","85.4","698","85.4","0","NaN","0","NaN","0","NaN","0","NaN","278","78.5","420","90.7","0","NaN","242","80.1","225","85.9","153","90.5","65","95.6","13","81.2","0","NaN","90","75.6","247","88.5","193","86.9","168","85.3","144","87.3","98","71.5","124","94.7","117","91.4","119","90.8","96","76.8","305","84","59","92.2","119","90.2","205","83.3","10","83.3"
"20","2","114","14","114","14","0","NaN","0","NaN","0","NaN","0","NaN","73","20.6","41","8.9","0","NaN","58","19.2","35","13.4","16","9.5","2","2.9","3","18.8","0","NaN","27","22.7","31","11.1","28","12.6","28","14.2","21","12.7","38","27.7","7","5.3","11","8.6","11","8.4","26","20.8","56","15.4","5","7.8","12","9.1","39","15.9","2","16.7"
"21","3","4","0.5","4","0.5","0","NaN","0","NaN","0","NaN","0","NaN","3","0.8","1","0.2","0","NaN","2","0.7","2","0.8","0","0","0","0","0","0","0","NaN","2","1.7","1","0.4","0","0","1","0.5","0","0","0","0","0","0","0","0","1","0.8","3","2.4","1","0.3","0","0","1","0.8","2","0.8","0","0"
"22","4","1","0.1","1","0.1","0","NaN","0","NaN","0","NaN","0","NaN","0","0","1","0.2","0","NaN","0","0","0","0","0","0","1","1.5","0","0","0","NaN","0","0","0","0","1","0.5","0","0","0","0","1","0.7","0","0","0","0","0","0","0","0","1","0.3","0","0","0","0","0","0","0","0"
"23","5 ó más","0","0","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Total","817","100","817","100","0","NaN","0","NaN","0","NaN","0","NaN","354","100","463","100","0","NaN","302","100","262","100","169","100","68","100","16","100","0","NaN","119","100","279","100","222","100","197","100","165","100","137","100","131","100","128","100","131","100","125","100","363","100","64","100","132","100","246","100","12","100"
"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
