"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61"
"1","MP15NumAmbosMoto","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"11","Rr_P_15_9_MOTO_1_r2_Mi_Esposo___Esposa","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"12","Rr_P_15_9_MOTO_1_r3_Mi_Pap____Mam","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"13","Rr_P_15_9_MOTO_1_r4_Hijos___Hijas","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"14","Rr_P_15_9_MOTO_1_r5_Otro_familiar","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"15","Rr_P_15_9_MOTO_1_No_sabe__no_contest","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"16","Total","106","100","0","NaN","0","NaN","106","100","0","NaN","0","NaN","37","100","69","100","0","NaN","33","100","26","100","25","100","17","100","5","100","0","NaN","26","100","22","100","29","100","29","100","19","100","16","100","15","100","20","100","18","100","18","100","47","100","8","100","17","100","34","100","0","NaN"
"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18","MP15MarcaAmbosMoto","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"19","1.Italika","44","41.5","0","NaN","0","NaN","44","41.5","0","NaN","0","NaN","20","54.1","24","34.8","0","NaN","13","39.4","10","38.5","2.5","10","2.03100960115899","11.9","0","0","0","NaN","2.59229627936314","10","10","45.5","11","37.9","11","37.9","9","47.4","1.36626010212795","8.5","1.96396101212393","13.1","7","35","1.95538472218761","10.9","4","22.2","15","31.9","1.30930734141595","16.4","13","76.5","14","41.2","0","NaN"
"20","2.Yamaha","15","14.2","0","NaN","0","NaN","15","14.2","0","NaN","0","NaN","2","5.4","13","18.8","0","NaN","4","12.1","5","19.2","1.87082869338697","7.5","1","5.9","1","20","0","NaN","1.66132477258362","6.4","4","18.2","5","17.2","3","10.3","6","31.6","1.36626010212795","8.5","1.36277028773849","9.1","3","15","0","0","2","11.1","5","10.6","1.51185789203691","18.9","1","5.9","5","14.7","0","NaN"
"21","3.Honda","23","21.7","0","NaN","0","NaN","23","21.7","0","NaN","0","NaN","5","13.5","18","26.1","0","NaN","7","21.2","8","30.8","1","4","1.62018517460197","9.5","1.22474487139159","24.5","0","NaN","2.19089023002066","8.4","2","9.1","9","31","6","20.7","5","26.3","1.91485421551268","12","1.36277028773849","9.1","5","25","1.62697843363992","9","3","16.7","9","19.1","1","12.5","2","11.8","11","32.4","0","NaN"
"22","4.Suzuki","14","13.2","0","NaN","0","NaN","14","13.2","0","NaN","0","NaN","5","13.5","9","13","0","NaN","4","12.1","5","19.2","1.38443731048635","5.5","1.62018517460197","9.5","0","0","0","NaN","1.3856406460551","5.3","4","18.2","4","13.8","4","13.8","0","0","0","0","1","6.7","4","20","1.37198868114007","7.6","7","38.9","10","21.3","0","0","2","11.8","2","5.9","0","NaN"
"23","5.Bajaj","4","3.8","0","NaN","0","NaN","4","3.8","0","NaN","0","NaN","2","5.4","2","2.9","0","NaN","4","12.1","0","0","0","0","0","0","0","0","0","NaN","0","0","2","9.1","2","6.9","0","0","0","0","0","0","0","0","0","0","0","0","4","22.2","2","4.3","0","0","0","0","2","5.9","0","NaN"
"24","6.Kawasaki","11","10.4","0","NaN","0","NaN","11","10.4","0","NaN","0","NaN","5","13.5","6","8.7","0","NaN","4","12.1","1","3.8","1.6583123951777","6.6","1.36930639376292","8.1","1","20","0","NaN","1.3856406460551","5.3","2","9.1","1","3.4","6","20.7","1","5.3","1.78885438199983","11.2","1","6.7","3","15","0","0","2","11.1","6","12.8","0","0","2","11.8","3","8.8","0","NaN"
"25","7.Harley Davidson","2","1.9","0","NaN","0","NaN","2","1.9","0","NaN","0","NaN","2","5.4","0","0","0","NaN","1","3","0","0","0","0","1","5.9","0","0","0","NaN","1","3.8","0","0","1","3.4","0","0","0","0","1.36626010212795","8.5","0","0","0","0","0","0","0","0","1","2.1","1","12.5","0","0","0","0","0","NaN"
"26","8.Pulsar","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"27","98.Otra (Especificar)","1","0.9","0","NaN","0","NaN","1","0.9","0","NaN","0","NaN","0","0","1","1.4","0","NaN","0","0","0","0","0","0","1","5.9","0","0","0","NaN","0","0","0","0","0","0","1","3.4","0","0","1","6.2","0","0","0","0","0","0","0","0","1","2.1","0","0","0","0","0","0","0","NaN"
"28","Total","106","100","0","NaN","0","NaN","106","100","0","NaN","0","NaN","37","100","69","100","0","NaN","33","100","26","100","25","100","17","100","5","100","0","NaN","26","100","22","100","29","100","29","100","19","100","16","100","15","100","20","100","18","100","18","100","47","100","8","100","17","100","34","100","0","NaN"
"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30","MP15AmbosCategoriaMoto","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
