"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61"
"1","MP15NumAmbosMoto","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"31","Trabajo","46","43.4","0","NaN","0","NaN","46","43.4","0","NaN","0","NaN","6","16.2","40","58","0","NaN","19","57.6","15","57.7","2.44948974278318","9.8","1.62018517460197","9.5","0","0","0","NaN","2.04939015319192","7.9","12","54.5","20","69","9","31","9","47.4","1","6.2","1.96396101212393","13.1","13","65","1.81497042594606","10.1","10","55.6","24","51.1","1","12.5","7","41.2","14","41.2","0","NaN"
"32","Chopper","14","13.2","0","NaN","0","NaN","14","13.2","0","NaN","0","NaN","8","21.6","6","8.7","0","NaN","6","18.2","3","11.5","0","0","1.62018517460197","9.5","1","20","0","NaN","2.04939015319192","7.9","3","13.6","4","13.8","2","6.9","1","5.3","1.61245154965971","10.1","1.77281052085584","11.8","1","5","1.37198868114007","7.6","3","16.7","5","10.6","1","12.5","3","17.6","5","14.7","0","NaN"
"33","Cuatrimoto","10","9.4","0","NaN","0","NaN","10","9.4","0","NaN","0","NaN","4","10.8","6","8.7","0","NaN","3","9.1","1","3.8","1.6583123951777","6.6","1","5.9","1.22474487139159","24.5","0","NaN","1","3.8","1","4.5","3","10.3","5","17.2","0","0","1.91485421551268","12","1","6.7","1","5","0","0","3","16.7","7","14.9","1","12.5","1","5.9","1","2.9","0","NaN"
"34","Deportiva","16","15.1","0","NaN","0","NaN","16","15.1","0","NaN","0","NaN","2","5.4","14","20.3","0","NaN","4","12.1","5","19.2","1.6583123951777","6.6","1.80277563773199","10.6","0","0","0","NaN","2.04939015319192","7.9","2","9.1","2","6.9","7","24.1","6","31.6","2","12.5","0","0","1","5","1.37198868114007","7.6","1","5.6","4","8.5","1.51185789203691","18.9","2","11.8","6","17.6","0","NaN"
"35","Motoneta /  Scooter","25","23.6","0","NaN","0","NaN","25","23.6","0","NaN","0","NaN","18","48.6","7","10.1","0","NaN","4","12.1","5","19.2","2.5","10","1.80277563773199","10.6","1.22474487139159","24.5","0","NaN","2.5298221281347","9.7","4","18.2","4","13.8","7","24.1","5","26.3","1","6.2","1","6.7","4","20","2.16930457818656","12.1","4","22.2","9","19.1","1","12.5","6","35.3","9","26.5","0","NaN"
"36","Doble propósito","3","2.8","0","NaN","0","NaN","3","2.8","0","NaN","0","NaN","3","8.1","0","0","0","NaN","1","3","0","0","0","0","1.36930639376292","8.1","0","0","0","NaN","0","0","2","9.1","0","0","1","3.4","0","0","0","0","0","0","2","10","0","0","1","5.6","0","0","0","0","1","5.9","2","5.9","0","NaN"
"37","Infantiles","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"38","Otra (especificar)","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"39","Total","106","100","0","NaN","0","NaN","106","100","0","NaN","0","NaN","37","100","69","100","0","NaN","33","100","26","100","25","100","17","100","5","100","0","NaN","26","100","22","100","29","100","29","100","19","100","16","100","15","100","20","100","18","100","18","100","47","100","8","100","17","100","34","100","0","NaN"
"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
